number,bpm_range
1,<60
2,<60
3,60-80
4,60-80
5,60-80
6,60-80
7,60-80
8,60-80
9,60-80
10,60-80
11,60-80
12,140-160
13,140-160
14,140-160
15,140-160
16,140-160
17,140-160
18,160-180
19,160-180
20,160-180
21,160-180
22,160-180
23,160-180
24,160-180
25,160-180
26,120-140
27,120-140
28,120-140
29,120-140
30,120-140
31,120-140
32,120-140
33,120-140
34,120-140
35,120-140
36,120-140
37,120-140
38,120-140
39,120-140
40,120-140
41,80-100
42,80-100
43,80-100
44,80-100
45,80-100
46,80-100
47,80-100
48,80-100
49,80-100
50,80-100
51,80-100
52,80-100
53,80-100
54,80-100
55,80-100
56,80-100
57,80-100
58,80-100
59,80-100
60,80-100
61,80-100
62,80-100
63,80-100
64,80-100
65,80-100
66,100-120
67,100-120
68,100-120
69,100-120
70,100-120
71,100-120
72,100-120
73,100-120
74,100-120
75,100-120
76,100-120
77,100-120
78,100-120
79,100-120
80,100-120
81,100-120
82,100-120
83,100-120
84,100-120
85,100-120
86,100-120
87,100-120
88,100-120
89,100-120
90,100-120
91,100-120
92,100-120
93,100-120
94,100-120
95,100-120
96,100-120
97,100-120
98,100-120
99,100-120
100,100-120
