number,bpm_range
1,60-80
2,60-80
3,60-80
4,60-80
5,60-80
6,60-80
7,60-80
8,60-80
9,60-80
10,60-80
11,60-80
12,160-180
13,160-180
14,160-180
15,160-180
16,160-180
17,140-160
18,140-160
19,140-160
20,140-160
21,140-160
22,140-160
23,140-160
24,140-160
25,140-160
26,140-160
27,140-160
28,140-160
29,100-120
30,100-120
31,100-120
32,100-120
33,100-120
34,100-120
35,100-120
36,100-120
37,100-120
38,100-120
39,100-120
40,100-120
41,100-120
42,100-120
43,100-120
44,100-120
45,100-120
46,100-120
47,120-140
48,120-140
49,120-140
50,120-140
51,120-140
52,120-140
53,120-140
54,120-140
55,120-140
56,120-140
57,120-140
58,120-140
59,120-140
60,120-140
61,120-140
62,120-140
63,120-140
64,120-140
65,120-140
66,80-100
67,80-100
68,80-100
69,80-100
70,80-100
71,80-100
72,80-100
73,80-100
74,80-100
75,80-100
76,80-100
77,80-100
78,80-100
79,80-100
80,80-100
81,80-100
82,80-100
83,80-100
84,80-100
85,80-100
86,80-100
87,80-100
88,80-100
89,80-100
90,80-100
91,80-100
92,80-100
93,80-100
94,80-100
95,80-100
96,80-100
97,80-100
98,80-100
99,80-100
100,80-100
