name,bpm,year
The Journey Chris Wonderful Mix,95,2017
Keep Breathing  — Sad radio on Cassini,110,2012
Feels Like Heaven  — VSTGUru,160,2019
Planet Five  Sunduo,96,2018
Julia's Song Video Version,85,2017
It's Just as Well — Jane Maximova,120,2016
Avrora — Gray Piligrim,160,2014
Golden Gate Bridge Owen Ear,100,2015
Winter Chill Breaks Mix — Mo-Ka,125,2018
Night Butterfly Bryan Milton,91,2016
Around You  Kasstedy,175,2017
Tom Strobe Come Back to Me,90,2021
Come To Me - Moonnight Remix,130,2017
Loneliness  DJ Rostej,105,2016
Airport — Van,76,2017
Create Everyday Alexander Volosnikov,157,2015
Fondness  Submersion,100,2017
Sometimes Drums Edit Robien M,110,2017
A Dream Within a Dream  MESSIAH project,160,2016
A Letter to Kate Zetandel,164,2017
A Good Day Denis Neve,100,2017
A Whiff of Spring Alexander Volosnikov,148,2021
A Woman Named Potaya Van,160,2017
Alone Tom Strobe,130,2018
Amazing Life  Cj RcM,90,2018
Anisotropic Universe Chris Wonderful,140,2012
Another You EMIOL,110,2015
Anticipation Tony Sit,115,2016
Atmosphere Georgy Om,76,2015
Atrip out of Town Van,80,2017
August Sad radio on Cassini,92,2017
Back to the Universe — Simon G,90,2016
Barefoot on Pavement — My 7sky,100,2015
Barely Touched Your Lips — Anton DelaiTech,60,2021
Before the Summer Rain A-Mase,110,2015
Behind the Sky,90,2018
Bliss Matthew Billings,162,2015
Soty Blurred Thoughts,140,2016
Autumn — Cj RcM,120,2018
Bora Bora  Nikolay Mikryukov,160,2016
Bossalove  R.I.B.,120,2017
Breathe Burthen,93,2016
Breathe Out Tijani,60,2016
Changes Van,120,2019
Chemical Process Vennson,138,2015
Childhood Gemini Tri,140,2017
Chronicle Cj RcM,160,2016
Closed Eyes Tom Strobe,85,2018
Close to Me MESSIAH project,100,2012
Cloudy Fartron,170,2016
Cold Juice Deep Mix Mishel Gineras,120,2018
Cold Rain in My Eyes Submersion,100,2016
Cold Wind Rega Avoena,96,2021
Color of Life Mr.Udjin,80,2017
Comeback Ed Kashinsky,89,2021
Come Undone  Jack-o'-Lantern,120,2018
Come with Me EMIOL,90,2016
Dat Damn Bird Kasstedy,124,2017
Days That Passed Alexander Volosnikov,110,2012
Deep Breath MESSIAH project,160,2016
Deep Under the Sky R.I.B.,140,2017
Dream Airform,98,2013
Dream River Seven24,80,2016
Dreaming About Love Tom Strobe,107,2017
Dreams Random BPM,137,2016
Earth Angels Original Mix Rega Avoena,90,2018
Edge of Heaven Spit,136,2015
Elasia MAA,128,2014
Ellegiya Diamans,154,2014
Erotic Suntise,100,2020
Ethnopsy Demetrio Da Soto,70,2015
Evening Sad radio on Cassini,140,2017
Every Night in Almaty Cj RcM,100,2016
Falling in the Deep Iris Dee Jay,140,2021
Feel the Tenderness My 7sky,90,2015
First Contact Denis Arson,95,2016
First Flight Jim Ross,100,2017
First Fly Ed Kashinsky,115,2021
Fixtures Baunn,130,2020
Flawering Jasmine Van,170,2016
Flight in the Dream Rega Avoena,94,2021
Flying Soul Tom Strobe,140,2021
Forest Rain Denis Neve,128,2017
Forest Rain Cj RcM,90,2017
Frozen Seven24,118,2015
Gone with the Sunset Zetandel,95,2017
Great Inside Yourself My 7sky,160,2013
Guitar Theme Kiilto,95,2016
Highway Garpleira,94,2014
Holidays Sad radio on Cassini,105,2017
Homecoming EMIOL,100,2016
Hope Vocal Mix Seven24,80,2018
Hot City Walk LastEDEN,80,2016
I Am Cold Anabioz,87,2017
I Am Writing to You Random J,80,2016
I Remember You R.I.B.,146,2018
I Want So  Philip Aniskin,125,2016
I Want to Fly Chris Wonderful,130,2015
Alexander Volosnikov I Want to Go to the Shore with You,120,2021
I Wonder Sandro Kait,105,2017
