name,bpm,year
Fav Boyz (feat. Thutmose) - Steve Aoki's Gold Star Remix,108,2021
Jackson Wang Galantis - Pretty Please,126,2020
Jordan Jay Baby (Ride Into The Sun),118,2020
100 Ways - MK Remix,124,2020
Martin Garrix Tove Lo - Pressure (feat. Tove Lo),115,2021
TEQUILAJAY DIXIE,126,2021
James Godfrey Danielle Knoll - Diamonds,124,2020
Allergic Superstar,125,2020
Bridged By A Lightwave - Radio Edit,128,2020
Sunlike Brothers - I Kissed A Girl,130,2020
Idetto - Down,135,2020
Tiesto -The Business,120,2020
Goodboys - Goodbye,125,2020
Nazzereene - Want U To Myself,128,2020
Scooter - FCK 2020,75,2020
Dottixs - Locked Up,158,2021
Ozlig - Feel Like,128,2021
Space Melody (Edward Artemyev) (feat. Leony),128,2020
Joe Jury - September,126,2020
Nadia - Umbrella,120,2020
Tokio Hotel - White Lies,128,2021
Timmy Trumpet - Paul Is Dead,170,2020
Brenton Mattheus-Stereo Love,126,2020
Drive Me Home - Official Animal Sound 2019 Anthem,126,2019
COLD TIMMY TRUMPET,100,2020
WEAK DEEP CHILLS,119,2021
MORNING KAREN HARDING,125,2021
Like Jayden - I Want It Now,124,2021
Big (feat. Gunna),112,2021
Do It! - Dimitri Vegas Radio Edit,125,2020
Never Look Back (feat. Syd Silvair),123,2021
Idetto - One (Your Name),126,2020
4 to the Floor (feat. Nikol Apatini),123,2021
Kacy Moon - Stand By Me,122,2020
Lika Morgan - IQ Doesn't Matter,118,2021
Head & Heart (feat. MNEK) - Ofenbach Remix,119,2020
Astronomia (Coffin Dance),136,2020
Higher Ground (feat. John Martin),128,2020
Sasha Sloan-I'll Wait,123,2020
Still Think About You - Imad Remix,122,2018
High On Life (feat. Bonn),128,2018
Oasis - Kyco x Barkley Remix,123,2017
Roses - Imanbek Remix,122,2020
AJ Jordan-Intentions,125,2020
FAULHABER-Where The Lights Are Low,124,2021
Idetto-Party Shaker,128,2020
Kelli-Leigh-Good,124,2021
Forever Yours - Avicii Tribute,119,2020
Dolly Song (Devil's Cup),115,2020
Idetto-Mood,118,2020
Digital Farm Animals-Undo My Heart,123,2020
CeCe Rogers-Poison,124,2021
HUTS - All Time Low,102,2020
Be the One (feat. MORGAN),132,2021
George Redwood-Love You Right,126,2020
Robbie Rosen-Only You,145,2019
Dawn Richard-Bussifame,120,2021
Marshmello Arash -Lavandia,126,2021
Backfire - Jordan Jay Remix,123,2020
CHANGES HUTS,130,2020
Recap (with VanJess & Channel Tres),115,2021
deadmau5-Arguru 2k19,128,2021
Gia Koka-Don't Leave Without Me,103,2016
HUTS-Toxic,125,2020
Sweet Side (feat. Caitlyn Scarlett),122,2021
The Chainsmokers Halsey-Closer,95,2016
Chris Viviano-Running,147,2018
The Him-Always,174,2017
Shibui-Life Is One,125,2020
Fire (with Elderbrook),126,2020
The Crushboys-Rockstar,130,2020
Run Free (with HUTS),118,2020
Del Del - Robbie Rivera Radio Edit,124,2020
Danny Avila-Hometown Heroes,126,2021
Olivia Addams-Love Poison,144,2018
Adara-Free,125,2016
OneRepublic-Lose Somebody,148,2020
Brieuc-Closer,123,2021
Amelia-Like You Know,140,2018
PARTY GIRL - R3HAB,124,2020
Rochelle Jordan-Got Em,127,2021
Bennson-Let the Love,123,2020
Lunice-Run Around,138,2021
HUTS-Yummy,126,2020
White Lies - Guy Arthur Remix,128,2018
Day 'N' Nite - Martin Jensen Edit,125,2020
Whitney Houston-Higher Love,104,2019
Work It - Soulwax Remix,125,2019
MUNNDAY-Through My Eyes,125,2020
Zak Abel-Freedom,113,2020
HUTS-Heaven,126,2020
Feel Something (feat. Duncan Laurence),94,2020
loafers-Sexbomb,123,2020
Prisoner (feat. Dua Lipa) - Jax Jones Remix,128,2021
Lyente Give Me Luck,120,2020
HUTS-SexyBack,126,2016
Valerie Broussard-The Truth,110,2020
HUTS-Falling,126,2020
Struan Shields-Someone,145,2018
HVME-Goosebumps,125,2020
