number,bpm_range
1,<80
2,<80
3,<80
4,<80
5,<80
6,140-160
7,140-160
8,140-160
9,140-160
10,>160
11,>160
12,>160
13,120-140
14,120-140
15,120-140
16,120-140
17,120-140
18,120-140
19,120-140
20,100-120
21,100-120
22,100-120
23,100-120
24,100-120
25,100-120
26,100-120
27,100-120
28,100-120
29,100-120
30,100-120
31,100-120
32,100-120
33,100-120
34,100-120
35,100-120
36,100-120
37,100-120
38,100-120
39,100-120
40,80-100
41,80-100
42,80-100
43,80-100
44,80-100
45,80-100
46,80-100
47,80-100
48,80-100
49,80-100
50,80-100
51,80-100
52,80-100
53,80-100
54,80-100
55,80-100
56,80-100
57,80-100
58,80-100
59,80-100
60,80-100
61,80-100
62,80-100
63,80-100
64,80-100
65,80-100
66,80-100
67,80-100
68,80-100
69,80-100
70,80-100
71,80-100
72,80-100
73,80-100
74,80-100
75,80-100
76,80-100
77,80-100
78,80-100
79,80-100
80,80-100
81,80-100
82,80-100
83,80-100
84,80-100
85,80-100
86,80-100
87,80-100
88,80-100
89,80-100
90,80-100
91,80-100
92,80-100
93,80-100
94,80-100
95,80-100
96,80-100
97,80-100
98,80-100
99,80-100
100,80-100
