name,bpm,year
L'Trimm Cars With the Boom,119,1988
Lil Jon and the East Side Boyz feat. Ying Yang Twins Get Low,101,2011
M.I.A. Paper Planes,172,2007
Jay Z and Alicia Keys Empire State of Mind,174,2009
Brand Nubian Slow Down,96,1990
Bone Thugs-N-Harmony Tha Crossroads,144,1995
Missy 'Misdemeanor' Elliott The Rain (Supa Dupa Fly),80,1997
Souls of Mischief 93 'til Infinity,103,1993
B.G. feat. Big Tymers and Hot Boys Bling Bling,99,1999
Rick Ross feat. Styles P B.M.F. (Blowin' Money Fast),140,2011
Biz Markie Just a Friend,85,1994
UGK feat. Outkast Int'l Players Anthem,156,2007
MC Shan The Bridge,97,1987
Digital Underground The Humpty Dance,104,1990
Jermaine Dupri feat. Jay Z Money Ain't a Thang,100,1998
Roxanne Shanté Roxanne's Revenge,96,2008
U.T.F.O. Roxanne,100,1985
Too $hort Freaky Tales,78,1989
Raekwon Cappadonna Ice Cream,90,1995
Nas It Ain't Hard to Tel,91,1994
Naughty by Nature O.P.P.,98,1991
Rammellzee and K-Rob Beat Bop,91,2012
Ultramagnetic MC's Ego Trippin,95,1988
A Tribe Called Quest Can I Kick It?,97,1990
Slick Rick-Children's Story,103,1988
M.O.P. Ante Up,94,2000
Gang Starr Mass Appeal,96,1994
Outkast Ms. Jackson,95,2000
Wu-Tang Clan Protect Ya Neck,102,1993
Jay Z and Kanye West Ni**as in Paris,140,2014
Ol' Dirty Bastard Brooklyn Zoo,92,1995
Kanye Monster,125,2010
Dead Prez Hip-Hop,77,2000
T.I. What You Know,73,2006
Ice T 6 n the Mornin,92,1987
Lil Wayne A Milli,151,2008
Sir Mix-A-Lot Baby Got Back,128,1992
Black Sheep The Choice Is Yours (Revisited),101,1991
Cypress Hill How I Could Just Kill a Man,102,1991
Dr. Dre feat. Snoop Doggy Dogg Deep Cover,102,2015
Beastie Boys Hold It Now Hit It,95,1986
Doug E. Fresh The Show,102,2002
Eminem Stan,80,2000
The Pharcyde Passin' Me By,87,1992
Clipse Grindin,96,2002
Grandmaster and Melle Mel White Lines (Don't Don't Do It),117,2013
Snoop Doggy Dogg Gin and Juice,94,2001
Run-DMC King of Rock,98,1985
The Notorious B.I.G. Big Poppa,84,1994
Public Enemy Bring the Noise,110,1988
Outkast B.O.B.,154,2000
The Adventures of Grandmaster Flash on the Wheels of Steel,111,1997
Marley Marl The Symphony,95,1988
Funky 4 + 1 That's the Joint,105,1997
Salt-N-Pepa Push It,127,1986
Lauryn Hill Lost Ones,95,1998
De La Soul Me Myself and I,114,2019
Audio Two Top Billin,91,1988
Boogie Down Productions South Bronx,96,1987
2Pac California Love,92,2007
Kurtis Blow The Breaks,113,1980
Eminem My Name Is,86,1999
Missy Elliott Get Ur Freak On,89,2001
Outkast Rosa Parks,104,1998
Ice Cube It Was A Good Day,82,1992
Mobb Deep Shook Ones Pt. II,94,1995
Schoolly D P.S.K. What Does It Mean?,99,1990
Jay Z 99 Problems,90,2003
Kanye West Jesus Walks,87,2004
Nas N.Y. State of Mind,84,1994
The Notorious B.I.G. Hypnotize,94,1997
LL Cool J Mama Said Knock You Out,102,1990
Eminem Lose Yourself,171,2014
lava in Ya Ear Remix,89,2004
A Tribe Called Quest Scenario,102,1991
Big Daddy Kane Ain't No Half-Steppin,101,1988
Rob Base & DJ EZ Rock It Takes Two,112,2019
Eric B. and Rakim I Know You Got Soul,104,1987
EPMD Strictly Business,96,1988
LL Cool J Rock the Bells,98,1985
50 Cent In Da Club,90,2003
Beastie Boys Paul Revere,92,1986
2Pac Dear Mama,84,1995
Run-DMC Peter Piper,105,1986
Jay Z feat. UGK Big Pimpin,138,1999
N.W.A Fuck tha Police,99,1988
Public Enemy Rebel Without a Pause,100,1988
Doug E. Fresh and Slick Rick La-Di-Da-Di,89,1999
Pete Rock and C.L. Smooth They Reminisce Over You (T.R.O.Y.),102,1992
Wu-Tang Clan C.R.E.A.M.,90,1993
Eric B. and Rakim Paid in Full,99,1987
N.W.A Straight Outta Compton,103,1988
The Notorious B.I.G. Juicy,96,1994
Public Enemy Fight the Power,106,1990
Dr. Dre Snoop Dogg Nuthin' But A G Thang,95,1992
Geto Boys Mind Playing Tricks on Me,94,1991
Run-DMC Sucker M.C.'s,103,1984
Afrika Bambaataa and the Soulsonic Force Planet Rock,127,2001
Sugarhill Gang Rapper's Delight,111,2005
Grandmaster Flash and the Furious Five The Message,101,1982
