name,bpm,year
Queen - Bohemian Rhapsody,141,1975
Led Zeppelin - Stairway to Heaven,82,1971
Nirvana - Smells Like Teen Spirit,117,1991
The Beatles - Let It Be,143,1970
Deep Purple - Smoke on the Water,114,1972
Queen - The Show Must Go On,83,1991
AC/DC - Highway to Hell,116,1979
The Beatles - Yesterday,97,1965
Queen - We Will Rock You,81,1977
Led Zeppelin - Kashmir,81,1975
AC/DC - Back In Black,94,1980
The Beatles - Help!,95,1965
Metallica - Nothing Else Matters,142,1991
Queen - We Are the Champions,64,1977
Pink Floyd - Another Brick in the Wall Part II,104,1979
John Lennon - Imagine,76,1971
Black Sabbath - Paranoid,163,1970
Pink Floyd - Money,124,1973
Led Zeppelin -Whole Lotta Love,90,1969
U2 - Sunday Bloody Sunday,101,1983
Eagles - Hotel California,147,1976
Guns N'Roses - Welcome To the Jungle,124,1987
The Beatles - A Hard Day's Night,139,1964
Scorpions - Still Loving You,104,1984
The Rolling Stones - (I Can't Get No) Satisfaction,136,1965
Led Zeppelin - Immigrant Song,113,1970
The Doors - Riders On the Storm,104,1971
Bon Jovi - Livin' On a Prayer,123,1986
The Beatles - Twist And Shout,125,1963
AC/DC - Thunderstruck,134,1990
The Beatles -Yellow Submarine,111,1966
Metallica - Enter Sandman,123,1991
The Beatles - Rock And Roll Music,167,1964
Black Sabbath – Iron Man,156,1970
Elvis Presley – Jailhouse Rock,167,1958
Animals - House Of The Rising Sun,117,1964
Guns N'Roses - November Rain,80,1991
Led Zeppelin - Black Dog,82,1971
Pink Floyd - Comfortably Numb,127,1979
Bon jovi- It's My Life,120,2000
The Doors -Light My Fire,125,1967
The Rolling Stones - Paint It Black,159,1966
Guns N'Roses - Sweet Child O' Mine,125,1987
Bob Dylan - Knockin' on Heaven's Door,140,1973
INXS - Need You Tonight,109,1987
Aerosmith - Dream On,161,1973
KISS - I Was Made for Lovin’ You,128,1979
Deep Purple - Child in Time,127,1970
The Beatles - I Saw Her Standing There,160,1963
Nirvana - Come As You Are,120,1991
The Beatles - Revolution,121,1973
Pink Floyd - Shine On You Crazy Diamond,138,1975
The Cure – Friday I’m In Love,136,1992
Deep Purple - Highway Star,174,1972
Queen - Another One Bites the Dust,110,1980
Soundgarden – Black Hole Sun,105,1994
Joy Division – Love Will Tear Us Apart,147,1980
Pink Floyd - Time,120,1973
Dire Straits - Money For Nothing,134,1985
Guns N'Roses - Don't Cry,125,1991
Chuck Berry - Johnny B. Goode,168,1959
Deep Purple - Soldier of Fortune,67,1974
Depeche Mode - Personal Jesus,130,1990
AC/DC - Hells Bells,107,1980
Gary Moore - Still Got The Blues (For You),82,1991
R.E.M. - Losing My Religion,126,1991
Uriah Heep - July Morning,156,1971
Red Hot Chili Peppers - Under The Bridge,85,1992
Scorpions - Rock You Like A Hurricane,126,1984
Foo Fighters - Everlong,158,1997
Deep Purple - Burn,97,1974
Pearl Jam - Jeremy,109,1991
Europe - The Final Countdown,118,1986
Oasis - Wonderwall,175,1995
Motley Crue - Kickstart My Heart,89,1989
Metallica - One,103,1988
Blur – Song 2,130,1997
Led Zeppelin - Rock And Roll,170,1971
The White Stripes - Seven Nation Army,124,2003
Judas Priest - Breaking The Law,164,1980
The Who – My Generation,97,1965
Radiohead - Creep,92,1993
Sex Pistols - God Save the Queen,148,1977
The Cranberries - Zombie,167,1994
The Ramones – Blitzkrieg Bop,88,1976
U2 – One,91,1991
Rainbow - Long Live Rock'n'Roll,75,1977
Jethro Tull – Locomotive Breath,125,1971
Iron Maiden - The Number of the Beast,100,1982
Queen – Radio Ga Ga,112,1984
Beastie Boys – Sabbotage,168,1994
Def Leppard - Hysteria,107,1987
Metallica - Sad but True,89,1991
The Doors - Break On Through (To the Other Side),90,1967
Bill Haley & His Comets - Rock Around The Clock,91,1955
The Clash - London Calling,134,1979
David Bowie - Heroes,112,1977
The Rolling Stones - Jumpin' Jack Flash,137,1966
Cream - Sunshine Of Your Love,115,2004
Jimi Hendrix Experience - All Along The Watchtower,113,1968
