number,bpm_range
1,60-80
2,60-80
3,60-80
4,60-80
5,60-80
6,60-80
7,80-100
8,80-100
9,80-100
10,80-100
11,80-100
12,80-100
13,80-100
14,80-100
15,80-100
16,80-100
17,80-100
18,80-100
19,80-100
20,80-100
21,80-100
22,80-100
23,80-100
24,80-100
25,80-100
26,80-100
27,100-120
28,100-120
29,100-120
30,100-120
31,100-120
32,100-120
33,100-120
34,100-120
35,100-120
36,100-120
37,100-120
38,100-120
39,100-120
40,100-120
41,100-120
42,100-120
43,100-120
44,100-120
45,100-120
46,100-120
47,100-120
48,100-120
49,100-120
50,100-120
51,100-120
52,120-140
53,120-140
54,120-140
55,120-140
56,120-140
57,120-140
58,120-140
59,120-140
60,120-140
61,120-140
62,120-140
63,120-140
64,120-140
65,120-140
66,120-140
67,120-140
68,120-140
69,120-140
70,120-140
71,120-140
72,120-140
73,120-140
74,120-140
75,120-140
76,120-140
77,120-140
78,120-140
79,140-160
80,140-160
81,140-160
82,140-160
83,140-160
84,140-160
85,140-160
86,140-160
87,140-160
88,140-160
89,140-160
90,160-180
91,160-180
92,160-180
93,160-180
94,160-180
95,160-180
96,160-180
97,160-180
98,160-180
99,160-180
100,160-180
